Artikelnummer;Oms1;Oms2;Oms3;Zoeknaam;Groep;EAN;Verkoopprijs;Eenheid;Prijs per;Voorraad
ABF45L20BM20    ;BSP ADAPT.45gr.WART.BI.BU.;;;ABF45L20;F0502007;;72.55;ST      ;1;3
ABF45L24BM24    ;BSP ADAPT.45gr.WART.BI.BU.;;;ABF45L24;F0502007;;174.64;ST      ;1;16
ABF9004 PUSH-IN ;BSP ADAPT.WART.BI.BI.;;;ABF9004P;F0501010;;14.63;ST      ;1;0
ABF9006 PUSH-IN ;BSP ADAPT.WART.BI.BI.;;;ABF9006P;F0501010;;17.03;ST      ;1;0
ABF9008 PUSH-IN ;BSP ADAPT.WART.BI.BI.;;;ABF9008P;F0501010;;20.52;ST      ;1;0
ABF9010 PUSH-IN ;BSP ADAPT.WART.BI.BI.;;;ABF9010P;F0501010;;27.99;ST      ;1;0
ABF9012 PUSH-IN ;BSP ADAPT.WART.BI.BI.;;;ABF9012P;F0501010;;30.87;ST      ;1;0
ABF9016 PUSH-IN ;BSP ADAPT.WART.BI.BI.;;;ABF9016P;F0501010;;58.79;ST      ;1;0
ABF90K02BF02    ;BSP ADAPT.90gr.WART.BI.BI.;;;ABF90K02;F0503009;;17.32;ST      ;1;5
ABF90K04BF04    ;BSP ADAPT.90gr.WART.BI.BI.;;;ABF90K04;F0503001;;15.79;ST      ;1;40
ABF90K04BM04    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K04;F0503002;;7.06;ST      ;1;170
ABF90K04BM04.B  ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K04;F0503003;;12.05;ST      ;1;10
ABF90K04BT04    ;BSP-BSPT ADAPT.90gr.WART.BI.BU;;;ABF90K04;F0503004;;18.67;ST      ;1;3
ABF90K06BF06    ;BSP ADAPT.90gr.WART.BI.BI.;;;ABF90K06;F0503001;;16.09;ST      ;1;15
ABF90K06BM04    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K06;F0503002;;17.19;ST      ;1;3
ABF90K06BM06    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K06;F0503002;;9.26;ST      ;1;27
ABF90K06BM06.B  ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K06;F0503003;;17.19;ST      ;1;5
ABF90K06BM08    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K06;F0503002;;18.43;ST      ;1;4
ABF90K06BT06    ;BSP-BSPT ADAPT.90gr.WART.BI.BU;;;ABF90K06;F0503004;;20.14;ST      ;1;184
ABF90K06JM09    ;BSP-JIC ADAPT.90gr.WART.BI.BU.;;;ABF90K06;F0503005;;17.65;ST      ;1;3
ABF90K08BF08    ;BSP ADAPT.90gr.WART.BI.BI.;;;ABF90K08;F0503001;;21.68;ST      ;1;0
ABF90K08BM06    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K08;F0503002;;18.43;ST      ;1;5
ABF90K08BM08    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K08;F0503002;;11.86;ST      ;1;12
ABF90K08BM08.B  ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K08;F0503003;;18.43;ST      ;1;10
ABF90K08BT08    ;BSP-BSPT ADAPT.90gr.WART.BI.BU;;;ABF90K08;F0503004;;24.95;ST      ;1;10
ABF90K08JM12    ;BSP-JIC ADAPT.90gr.WART.BI.BU.;;;ABF90K08;F0503005;;22.16;ST      ;1;6
ABF90K10BF10    ;BSP ADAPT.90gr.WART.BI.BI.;;;ABF90K10;F0503001;;26.68;ST      ;1;10
ABF90K10BM10    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K10;F0503002;;24.19;ST      ;1;6
ABF90K12BF12    ;BSP ADAPT.90gr.WART.BI.BI.;;;ABF90K12;F0503001;;30.71;ST      ;1;10
ABF90K12BM12    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K12;F0503002;;18.23;ST      ;1;21
ABF90K12BM12.B  ;BSP ADAPT.90gr.WART.BI.BU.;BLOKUITVOERING;;ABF90K12;F0503003;;29.94;ST      ;1;25
ABF90K12BM16    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K12;F0503002;;43.3;ST      ;1;4
ABF90K12BT12    ;BSP-BSPT ADAPT.90gr.WART.BI.BU;;;ABF90K12;F0503004;;36.3;ST      ;1;3
ABF90K12JM17    ;BSP-JIC ADAPT.90gr.WART.BI.BU.;;;ABF90K12;F0503005;;37.71;ST      ;1;4
ABF90K16BF16    ;BSP ADAPT.90gr.WART.BI.BI.;;;ABF90K16;F0503001;;37.71;ST      ;1;5
ABF90K16BM12    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K16;F0503002;;43.3;ST      ;1;5
ABF90K16BM16    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K16;F0503002;;32.98;ST      ;1;20
ABF90K16BM16.B  ;BSP ADAPT.90gr.WART.BI.BU.;BLOKUITVOERING;;ABF90K12;F0503003;;49.52;ST      ;1;33
ABF90K16BT16    ;BSP-BSPT ADAPT.90gr.WART.BI.BU;;;ABF90K16;F0503004;;48.68;ST      ;1;3
ABF90K20BF20    ;BSP ADAPT.90gr.WART.BI.BI.;;;ABF90K20;F0503001;;87.31;ST      ;1;8
ABF90K20BM20    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K20;F0503002;;75.98;ST      ;1;3
ABF90K24BF24    ;BSP ADAPT.90gr.WART.BI.BI.;;;ABF90K24;F0503001;;194.14;ST      ;1;9
ABF90K24BM24    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K24;F0503002;;162.59;ST      ;1;1
ABF90K32BF32    ;BSP ADAPT.90gr.WART.BI.BI.;;;ABF90K32;F0503001;;273;ST      ;1;2
ABF90K32BM32    ;BSP ADAPT.90gr.WART.BI.BU.;;;ABF90K32;F0503002;;221.59;ST      ;1;2
ABF90L04BF04    ;BSP ADAPT.90gr.WART.BI.BI.LANG;;;ABF90L04;F0503006;;9.19;ST      ;1;14
ABF90L04BM04    ;BSP ADAPT.90gr.WART.BI.BU.LANG;;;ABF90L04;F0503007;;7.44;ST      ;1;31
ABF90L06BF06    ;BSP ADAPT.90gr.WART.BI.BI.LANG;;;ABF90L06;F0503006;;10.66;ST      ;1;4
ABF90L06BM06    ;BSP ADAPT.90gr.WART.BI.BU.LANG;;;ABF90L06;F0503007;;8.97;ST      ;1;20
ABF90L08BF08    ;BSP ADAPT.90gr.WART.BI.BI.LANG;;;ABF90L08;F0503006;;13.2;ST      ;1;15
ABF90L08BM08    ;BSP ADAPT.90gr.WART.BI.BU.LANG;;;ABF90L08;F0503007;;11.08;ST      ;1;25
ABF90L10BF10    ;BSP ADAPT.90gr.WART.BI.BI.LANG;;;ABF90L10;F0503006;;24.95;ST      ;1;3
ABF90L10BM10    ;BSP ADAPT.90gr.WART.BI.BU.LANG;;;ABF90L10;F0503007;;24.95;ST      ;1;3
ABF90L12BF12    ;BSP ADAPT.90gr.WART.BI.BI.LANG;;;ABF90L12;F0503006;;21.89;ST      ;1;11
ABF90L12BM12    ;BSP ADAPT.90gr.WART.BI.BU.LANG;;;ABF90L12;F0503007;;17.46;ST      ;1;20
ABF90L16BF16    ;BSP ADAPT.90gr.WART.BI.BI.LANG;;;ABF90L16;F0503006;;35.58;ST      ;1;8
ABF90L16BM16    ;BSP ADAPT.90gr.WART.BI.BU.LANG;;;ABF90L16;F0503007;;29.37;ST      ;1;40
ABF90L20BF20    ;BSP ADAPT.90gr.WART.BI.BI.LANG;;;ABF90L20;F0503006;;72.55;ST      ;1;3
ABF90L20BM20    ;BSP ADAPT.90gr.WART.BI.BU.LANG;;;ABF90L20;F0503007;;72.55;ST      ;1;7
ABF90L24BM24    ;BSP ADAPT.90gr.WART.BI.BU.LANG;;;ABF90L24;F0503007;;174.64;ST      ;1;2
ABF90L32BM32    ;BSP ADAPT.90gr.WART.BI.BU.LANG;;;ABF90L32;F0503007;;253.09;ST      ;1;2
ABLN02          ;BSP ADAPT.ZESKANTMOER;;;ABLN02  ;F0501021;;1.78;ST      ;1;11
ABLN04          ;BSP ADAPT.ZESKANTMOER;;;ABLN04  ;F0501021;;2.11;ST      ;1;100
ABLN06          ;BSP ADAPT.ZESKANTMOER;;;ABLN06  ;F0501021;;2.17;ST      ;1;102
ABLN08          ;BSP ADAPT.ZESKANTMOER;;;ABLN08  ;F0501021;;2.64;ST      ;1;100
ABLN10          ;BSP ADAPT.ZESKANTMOER;;;ABLN10  ;F0501021;;3.02;ST      ;1;15
ABLN12          ;BSP ADAPT.ZESKANTMOER;;;ABLN12  ;F0501021;;3.34;ST      ;1;139
ABLN16          ;BSP ADAPT.ZESKANTMOER;;;ABLN16  ;F0501021;;5.21;ST      ;1;75
ABLN20          ;BSP ADAPT.ZESKANTMOER;;;ABLN20  ;F0501021;;10.98;ST      ;1;41
ABLN24          ;BSP ADAPT.ZESKANTMOER;;;ABLN24  ;F0501021;;11.25;ST      ;1;65
ABLN32          ;BSP ADAPT.ZESKANTMOER;;;ABLN32  ;F0501021;;25.27;ST      ;1;3
ABM02           ;BSP ADAPT.PLUG;;;ABM02   ;F0501019;;2.26;ST      ;1;11
ABM02BM02       ;BSP ADAPT.BU.BU.;;;ABM02BM0;F0501020;;1.55;ST      ;1;30
ABM02BM02BM02   ;BSP ADAPT.T-BU.BU.BU.;;;ABM02BM0;F0504002;;15.16;ST      ;1;3
ABM02BM04       ;BSP ADAPT.BU.BU.;;;ABM02BM0;F0501020;;1.55;ST      ;1;166
ABM02BM06       ;BSP ADAPT.BU.BU.;;;ABM02BM0;F0501020;;3.58;ST      ;1;5
ABM02BM08       ;BSP ADAPT.BU.BU.;;;ABM02BM0;F0501020;;4.9;ST      ;1;5
ABM02BML02      ;BSP ADAPT.SCHOT BU.BU.;;;ABM02BML;F0501021;;9.1;ST      ;1;4
ABM02BT02       ;BSP-BSPT ADAPT.BU.BU.;;;ABM02BT0;F0501022;;1.28;ST      ;1;20
ABM02BT04       ;BSP-BSPT ADAPT.BU.BU.;;;ABM02BT0;F0501022;;2.53;ST      ;1;8
ABM02BT06       ;BSP-BSPT ADAPT.BU.BU.;;;ABM02BT0;F0501022;;4.42;ST      ;1;72
ABM02BT08       ;BSP-BSPT ADAPT.BU.BU.;;;ABM02BT0;F0501022;;10.8;ST      ;1;3
ABM02BV02L      ;BSP ADAPT.BU.BI.;;;ABM02BV0;F0501023;;6.3;ST      ;1;30
ABM02BV04L      ;BSP ADAPT.BU.BI.;;;ABM02BV0;F0501023;;6.22;ST      ;1;9
ABM02JM07       ;BSP-JIC ADAPT.BU.BU.;;;ABM02JM0;F0501025;;2.77;ST      ;1;13
ABM02JM08       ;BSP-JIC ADAPT.BU.BU.;;;ABM02JM0;F0501025;;3.97;ST      ;1;5
ABM02JM09       ;BSP-JIC ADAPT.BU.BU.;;;ABM02JM0;F0501025;;4.97;ST      ;1;5
ABM02M612       ;BSP-METR.ADAPT.BU.BU.;;;ABM02M61;F0501027;;5.05;ST      ;1;10
ABM02M614       ;BSP-METR.ADAPT.BU.BU.;;;ABM02M61;F0501027;;5.05;ST      ;1;13
ABM02NM02       ;BSP-NPT ADAPT.BU.BU.;;;ABM02NM0;F0501029;;3.26;ST      ;1;5
ABM02NM04       ;BSP-NPT ADAPT.BU.BU.;;;ABM02NM0;F0501029;;5.54;ST      ;1;20
ABM02NM06       ;BSP-NPT ADAPT.BU.BU.;;;ABM02NM0;F0501029;;5.53;ST      ;1;5
ABM02NV02       ;BSP-NPT ADAPT.BU.BI.;;;ABM02NV0;F0501030;;18.43;ST      ;1;5
ABM04           ;BSP ADAPT.PLUG;;;ABM04   ;F0501019;;1.23;ST      ;1;-42
ABM04BF04BF04   ;BSP ADAPT.WART.T-BU.BI.BI.;;;ABM04BF0;F0504003;;20.14;ST      ;1;7
ABM04BF04BM04   ;BSP ADAPT.T-WART.BU.BI.BU.;;;ABM04BF0;F0504003;;10.25;ST      ;1;20
ABM04BM04       ;BSP ADAPT.BU.BU.;;BHYCO10040;ABM04BM0;F0501020;;1.38;ST      ;1;170
ABM04BM04BF04   ;BSP ADAPT.WART.T-BU.BU.BI.;;;ABM04BM0;F0504005;;10.25;ST      ;1;175
ABM04BM04BF04.B ;BSP ADAPT.T-WART.BU.BU.BI.;;;ABM04BM0;F0504005;;16.95;ST      ;1;5
ABM04BM04BM02   ;BSP ADAPT.T-BU.BU.BU.;;;ABM04BM0;F0504005;;13.38;ST      ;1;3
ABM04BM04BM04   ;BSP ADAPT.T-BU.BU.BU.;;;ABM04BM0;F0504002;;7.06;ST      ;1;60
ABM04BM04BM04.B ;BSP ADAPT.T-BU.BU.BU.;;;ABM04BM0;F0504002;;13.38;ST      ;1;20
ABM04BM04BM04BM0;BSP ADAPT.K-BU.BU.BU.BU.;;;ABM04BM0;F0505002;;23.95;ST      ;1;5
ABM04BM04BM06   ;BSP ADAPT.T-BU.BU.BU.;;;ABM04BM0;F0504002;;17.33;ST      ;1;3
ABM04BM06       ;BSP ADAPT.BU.BU.;;;ABM04BM0;F0501020;;1.66;ST      ;1;206
ABM04BM08       ;BSP ADAPT.BU.BU.;;;ABM04BM0;F0501020;;2.39;ST      ;1;328
ABM04BM10       ;BSP ADAPT.BU.BU.;;;ABM04BM1;F0501020;;6.92;ST      ;1;5
ABM04BM12       ;BSP ADAPT.BU.BU.;;;ABM04BM1;F0501020;;9.1;ST      ;1;3
ABM04BM16       ;BSP ADAPT.BU.BU.;;;ABM04BM1;F0501020;;14.15;ST      ;1;14
ABM04BM20       ;BSP ADAPT.BU.BU.;;;ABM04BM2;F0501020;;48.2;ST      ;1;5
ABM04BM24       ;BSP ADAPT.BU.BU.;;;ABM04BM2;F0501020;;58.47;ST      ;1;5
ABM04BM32       ;BSP ADAPT.BU.BU.;;;ABM04BM3;F0501020;;79.93;ST      ;1;5
ABM04BML04      ;BSP ADAPT.SCHOT BU.BU.;;;ABM04BML;F0501021;;7.31;ST      ;1;50
ABM04BMXL04     ;BSP ADAPT.SCHOT BU.BU.; EXTRA LANG;;ABM04BML;F0501021;;22.98;ST      ;1;0
ABM04BT02       ;BSP-BSPT ADAPT.BU.BU.;;;ABM04BT0;F0501022;;2.53;ST      ;1;15
ABM04BT04       ;BSP-BSPT ADAPT.BU.BU.;;;ABM04BT0;F0501022;;1.73;ST      ;1;15
ABM04BT06       ;BSP-BSPT ADAPT.BU.BU.;;;ABM04BT0;F0501022;;3.03;ST      ;1;8
ABM04BT08       ;BSP-BSPT ADAPT.BU.BU.;;;ABM04BT0;F0501022;;5.21;ST      ;1;35
ABM04BT12       ;BSP-BSPT ADAPT.BU.BU.;;;ABM04BT1;F0501022;;9.1;ST      ;1;5
ABM04BV02L      ;BSP ADAPT.BU.BI.;;;ABM04BV0;F0501023;;6.22;ST      ;1;5
ABM04BV04-20    ;BSP ADAPT.BU.BI. UITLOPEND;GEBRUIK ABM04BV04L;;ABM04BV0;L01     ;;2.36;ST      ;1;2
ABM04BV04-30    ;BSP ADAPT.BU.BI.;;;ABM04BV0;F0501023;;2.96;ST      ;1;0
ABM04BV04-41    ;BSP ADAPT.BU.BI.;;;ABM04BV0;F0501023;;1.55;ST      ;1;0
ABM04BV04L      ;BSP ADAPT.BU.BI.;;;ABM04BV0;F0501023;;5.14;ST      ;1;10
ABM04BV06       ;BSP ADAPT.BU.BI.;;;ABM04BV0;F0501023;;18.27;ST      ;1;5
ABM04BV06-L     ;BSP ADAPT.BU.BI.;;;ABM04BV0;F0501023;;5.54;ST      ;1;5
ABM04BV08L      ;BSP ADAPT.BU.BI.;;;ABM04BV0;F0501023;;5.6;ST      ;1;13
ABM04JF07       ;BSP-JIC ADAPT.WART.BU.BI.;;;ABM04JF0;F0501024;;7.31;ST      ;1;6
ABM04JF08       ;BSP-JIC ADAPT.WART.BU.BI.;;;ABM04JF0;F0501024;;.71;ST      ;1;4
ABM04JF09       ;BSP-JIC ADAPT.WART.BU.BI.;;;ABM04JF0;F0501024;;7.31;ST      ;1;14
ABM04JF12       ;BSP-JIC ADAPT.WART.BU.BI.;;;ABM04JF1;F0501024;;8;ST      ;1;3
ABM04JM07       ;BSP-JIC ADAPT.BU.BU.;;;ABM04JM0;F0501025;;3.02;ST      ;1;15
ABM04JM08       ;BSP-JIC ADAPT.BU.BU.;;;ABM04JM0;F0501025;;3.58;ST      ;1;15
ABM04JM09       ;BSP-JIC ADAPT.BU.BU.;;;ABM04JM0;F0501025;;3.56;ST      ;1;11
ABM04JM12       ;BSP-JIC ADAPT.BU.BU.;;;ABM04JM1;F0501025;;5.05;ST      ;1;5
ABM04JM14       ;BSP-JIC ADAPT.BU.BU.;;;ABM04JM1;F0501025;;8;ST      ;1;5
ABM04JM17       ;BSP-JIC ADAPT.BU.BU.;;;ABM04JM1;F0501025;;15.08;ST      ;1;6
ABM04JM21       ;BSP-JIC ADAPT.BU.BU.;;;ABM04JM2;F0501025;;15.16;ST      ;1;3
ABM04KF22       ;BSP-KARCHER ADAPT.WART.BU.BI.;;;ABM04KF2;F05     ;;10.6;ST      ;1;13
ABM04KM22       ;BSP-KACHER ADAPT.BU.BU.;;;ABM04KM2;F17     ;;4.08;ST      ;1;29
ABM04M610       ;BSP-METR.ADAPT.BU.BU.;;;ABM04M61;F0501027;;5.05;ST      ;1;5
ABM04M612       ;BSP-METR.ADAPT.BU.BU.;;;ABM04M61;F0501027;;5.05;ST      ;1;5
ABM04M614       ;BSP-METR.ADAPT.BU.BU.;;;ABM04M61;F0501027;;5.05;ST      ;1;10
ABM04M616       ;BSP-METR.ADAPT.BU.BU.;;;ABM04M61;F0501027;;5.14;ST      ;1;5
ABM04M618       ;BSP-METR.ADAPT.BU.BU.;;;ABM04M61;F0501027;;5.91;ST      ;1;49
ABM04M620       ;BSP-METR.ADAPT.BU.BU.;;;ABM04M62;F0501027;;6.53;ST      ;1;7
ABM04M622       ;BSP-METR.ADAPT.BU.BU.;;;ABM04M62;F0501027;;6.61;ST      ;1;5
ABM04MSO09      ;BSP-UNF ADAPT.BU.BU.;;;ABM04MSO;F0501027;;3.97;ST      ;1;5
ABM04MU09       ;ADAPTER BSP-UNF BU.BU. ORM;;;ABM04MU0;F0501036;;4.75;ST      ;1;2
ABM04MU11       ;ADAPTER BSP-UNF BU.BU. ORM;;;ABM04MU0;F0501075;;6.14;ST      ;1;3
ABM04NM02       ;BSP-NPT ADAPT.BU.BU.;;;ABM04NM0;F0501029;;5.52;ST      ;1;25
ABM04NM04       ;BSP-NPT ADAPT.BU.BU.;;;ABM04NM0;F0501029;;3.47;ST      ;1;50
ABM04NM04 (KL.ZE;BSP-NPT ADAPT.BU.BU.KL.ZESKANT;;;ABM04NM0;F0501029;;4.64;ST      ;1;0
ABM04NM06       ;BSP-NPT ADAPT.BU.BU.;;;ABM04NM0;F0501029;;6.1;ST      ;1;2
ABM04NM06 (KL.ZE;BSP-NPT ADAPT.BU.BU.;;;ABM04NM0;F0501029;;6.1;ST      ;1;0
ABM04NM08       ;BSP-NPT ADAPT.BU.BU.;;;ABM04NM0;F0501029;;5.21;ST      ;1;5
ABM04NM12       ;BSP-NPT ADAPT.BU.BU.;;;ABM04NM1;F0501029;;9.88;ST      ;1;5
ABM04NM16       ;BSP-NPT ADAPT.BU.BU.;;;ABM04NM1;F0501029;;21.23;ST      ;1;5
ABM04NV04       ;BSP-NPT ADAPT.BU.BI.;;;ABM04NV0;F0501030;;18.49;ST      ;1;5
ABM06           ;BSP ADAPT.PLUG;;;ABM06   ;F0501019;;1.49;ST      ;1;18
ABM06BF06BF06   ;BSP ADAPT.T-WART.BU.BI.BI.;;;ABM06BF0;F0504003;;22.62;ST      ;1;25
ABM06BF06BM04   ;BSP ADAPT.T-WART.BU.BI.BU.;;;ABM06BF0;F0504003;;23.56;ST      ;1;6
ABM06BF06BM06   ;BSP ADAPT.T-WART.BU.BI.BU.;;;ABM06BF0;F0504003;;12.9;ST      ;1;108
ABM06BM06       ;BSP ADAPT.BU.BU.;;BHYCO10041;ABM06BM0;F0501020;;1.64;ST      ;1;2740
ABM06BM06 1.2   ;BSP ADAPT.BU.BU. BORING 1.2;;;ABM06BM0;F0501020;;17.93;ST      ;1;561
ABM06BM06BF06   ;BSP ADAPT.T-WART.BU.BU.BI.;;;ABM06BM0;F0504005;;12.9;ST      ;1;-1
ABM06BM06BF06.B ;BSP ADAPT.T-WART.BU.BU.BI.;;;ABM06BM0;F0504005;;18.9;ST      ;1;5
ABM06BM06BM04   ;BSP ADAPT.T-BU.BU.BU.;;;ABM06BM0;F0504002;;17.33;ST      ;1;5
ABM06BM06BM06   ;BSP ADAPT.T-BU.BU.BU.;;;ABM06BM0;F0504002;;10.45;ST      ;1;23
ABM06BM06BM06.B ;BSP ADAPT.T-BU.BU.BU.;BLOKMODEL VOOR BONDED SEAL;;ABM06BM0;F0504002;;17.33;ST      ;1;2
ABM06BM06BM08   ;BSP ADAPT.T-BU.BU.BU.;;;ABM06BM0;F0504002;;24.81;ST      ;1;5
ABM06BM08       ;BSP ADAPT.BU.BU.;;;ABM06BM0;F0501020;;2.87;ST      ;1;282
ABM06BM10       ;BSP ADAPT.BU.BU.;;;ABM06BM1;F0501020;;5.36;ST      ;1;2
ABM06BM12       ;BSP ADAPT.BU.BU.;;;ABM06BM1;F0501020;;3.9;ST      ;1;3
ABM06BM16       ;BSP ADAPT.BU.BU.;;;ABM06BM1;F0501020;;14.15;ST      ;1;0
ABM06BM20       ;BSP ADAPT.BU.BU.;;;ABM06BM2;F0501020;;39.65;ST      ;1;6
ABM06BM24       ;BSP ADAPT.BU.BU.;;;ABM06BM2;F0501020;;45.71;ST      ;1;6
ABM06BML06      ;BSP ADAPT.SCHOT BU.BU.;;;ABM06BML;F0501021;;8.4;ST      ;1;54
ABM06BML06EXTEND;BSP ADAPT.SCHOT BU.BU. extende;KOMPLEET MET MOER.;;ABM06BML;F0501021;73079290     ;22.05;ST      ;1;0
ABM06BT02       ;BSP-BSPT ADAPT.BU.BU.;;;ABM06BT0;F0501022;;5.21;ST      ;1;56
ABM06BT04       ;BSP-BSPT ADAPT.BU.BU.;;;ABM06BT0;F0501022;;4.31;ST      ;1;33
ABM06BT06       ;BSP-BSPT ADAPT.BU.BU.;;;ABM06BT0;F0501022;;2.12;ST      ;1;15
ABM06BT08       ;BSP-BSPT ADAPT.BU.BU.;;;ABM06BT0;F0501022;;4.48;ST      ;1;10
ABM06BT10       ;BSP-BSPT ADAPT.BU.BU.;;;ABM06BT1;F0501022;;7.31;ST      ;1;5
ABM06BT12       ;BSP-BSPT ADAPT.BU.BU.;;;ABM06BT1;F0501022;;8.78;ST      ;1;5
ABM06BT16       ;BSP-BSPT ADAPT.BU.BU.;;;ABM06BT1;F0501022;;15.71;ST      ;1;40
ABM06BV02       ;BSP ADAPT.BU.BI.;;;ABM06BV0;F0501023;;2.01;ST      ;1;10
ABM06BV04       ;BSP ADAPT.BU.BI.;;;ABM06BV0;F0501023;;2.01;ST      ;1;323
ABM06BV04L      ;BSP ADAPT.BU.BI.;;;ABM06BV0;F0501023;;5.67;ST      ;1;30
ABM06BV06       ;BSP ADAPT.BU.BI.;;;ABM06BV0;F0501023;;6.02;ST      ;1;0
ABM06BV06-20    ;BSP ADAPT.BU.BI.;OPHOOGLENGTE 20 MM;;ABM06BV0;F0501023;;3.06;ST      ;1;69
ABM06BV06-25    ;BSP ADAPT.BU.BI.;OPHOOGLENGTE 30 MM;;ABM06BV0;F0501023;;3.51;ST      ;1;52
ABM06BV06-32    ;BSP ADAPT.BU.BI.;OPHOOGLENGTE 32MM;;ABM06BV0;F0501023;;2.43;ST      ;1;1
ABM06BV06-45    ;BSP ADAPT.BU.BI.;OPHOOGLENGTE 45MM;;ABM06BV0;F0501023;;4.13;ST      ;1;10
ABM06BV06-50    ;BSP ADAPT.BU.BI.;OPHOOGLENGTE 50MM;;ABM06BV0;F0501023;;10.29;ST      ;1;509
ABM06BV08       ;BSP ADAPT.BU.BI.;;;ABM06BV0;F0501023;;20.52;ST      ;1;20
ABM06BV08L      ;BSP ADAPT.BU.BI.;;;ABM06BV0;F0501023;;6.22;ST      ;1;7
ABM06F618       ;BSP-METR.ADAPT.WART.BU.BI.;;;ABM06F61;F0501026;;9.88;ST      ;1;5
ABM06F622       ;BSP-METR.ADAPT.WART.BU.BI.;;;ABM06F62;F0501025;;10.26;ST      ;1;15
ABM06FU11       ;Rechte adapter;BSP 3/8" dr. x ORFS 11/16" wa.;;ABM06FU1;F0501028;;10.8;ST      ;1;3
ABM06FU13       ;Rechte adapter;BSP 3/8" dr. x ORFS 13/16" wa.;;ABM06MU1;F0501028;;10.8;ST      ;1;2
ABM06JF07       ;BSP-JIC ADAPT.WART.BU.BI.;;;ABM06JF0;F0501024;;8;ST      ;1;5
ABM06JF08       ;BSP-JIC ADAPT.WART.BU.BI.;;;ABM06JF0;F0501024;;8;ST      ;1;3
ABM06JF09       ;BSP-JIC ADAPT.WART.BU.BI.;;;ABM06JF0;F0501024;;8;ST      ;1;18
ABM06JF12       ;BSP-JIC ADAPT.WART.BU.BI.;;;ABM06JF1;F0501024;;7.31;ST      ;1;9
ABM06JF14       ;BSP-JIC ADAPT.WART.BU.BI.;;;ABM06JF1;F0501024;;9.1;ST      ;1;5
ABM06JM07       ;BSP-JIC ADAPT.WART.BU.BI.;;;ABM06JM0;F0501025;;3.58;ST      ;1;5
ABM06JM08       ;BSP-JIC ADAPT.BU.BU.;;;ABM06JM0;F0501025;;3.58;ST      ;1;0
ABM06JM09       ;BSP-JIC ADAPT.BU.BU.;;;ABM06JM0;F0501024;;3.42;ST      ;1;1
ABM06JM12       ;BSP-JIC ADAPT.BU.BU.;;;ABM06JM1;F0501025;;4.18;ST      ;1;10
ABM06JM14       ;BSP-JIC ADAPT.BU.BU.;;;ABM06JM1;F0501025;;5.05;ST      ;1;7
ABM06JM17       ;BSP-JIC ADAPT.BU.BU.;;;ABM06JM1;F0501025;;7.93;ST      ;1;8
ABM06JM21       ;BSP-JIC ADAPT.BU.BU.;;;ABM06JM2;F0501025;;12.53;ST      ;1;12
ABM06KF22       ;BSP-KARCHER ADAPT.WART.BU.BI.;;;ABM06KF2;F17     ;;12.47;ST      ;1;10
ABM06KM22       ;BSP-KARCHER ADAPT.BU.BU.;;;ABM06KM2;F1504350;;7.84;ST      ;1;48
ABM06M612       ;BSP-METR.ADAPT.BU.BU.;;;ABM06M61;F0501027;;5.21;ST      ;1;5
ABM06M614       ;BSP-METR.ADAPT.BU.BU.;;;ABM06M61;F0501027;;5.21;ST      ;1;10
ABM06M616       ;BSP-METR.ADAPT.BU.BU.;;;ABM06M61;F0501027;;5.14;ST      ;1;10
ABM06M618       ;BSP-METR.ADAPT.BU.BU.;;;ABM06M61;F0501027;;5.91;ST      ;1;40
ABM06M620       ;BSP-METR.ADAPT.BU.BU.;;;ABM06M62;F0501027;;6.53;ST      ;1;5
ABM06M622       ;BSP-METR.ADAPT.BU.BU.;;;ABM06M62;F0501027;;6.61;ST      ;1;5
ABM06MSO09      ;BSP-UNF ADAPT.BU.BU.;;;ABM06MSO;F0501028;;4.18;ST      ;1;7
ABM06MSO12      ;BSP-UNF ADAPT.BU.BU.;;;ABM06MSO;F0501028;;6;ST      ;1;19
ABM06MU09       ;ADAPTER BSP-UNF BU.BU. ORM;;;ABM06MU0;F0501028;;6.14;ST      ;1;10
ABM06MU11       ;ADAPTER BSP-UNF BU.BU. ORM;;;ABM06MU0;F0501036;;6.14;ST      ;1;3
ABM06MU13       ;RECHTE ADAPTER;BSP 3/8" dr. x ORFS 13/16" dr.;;ABM06MU1;F0501036;;6.22;ST      ;1;36
