Artikelnummer;Oms1;Oms2;Oms3;Zoeknaam;Groep;EAN;Verkoopprijs;Eenheid;Prijs per;Voorraad
WE 8LLR 1/8     ;BSP HAAKSE INSCHR.KOPPELING;;;WE8LLR1/;F0401067;;7.82;ST      ;1;0
WE 8LM 12       ;METR.HAAKSE INSCHR.KOPPELING;;;WE8LM12 ;F0401065;;7.82;ST      ;1;7
WE 8LN 1/4      ;NPT HAAKSE INSCHR.KOPPELING;;;WE8LN1/4;F0401069;;8.7;ST      ;1;6
WE 8LR 1/4      ;BSP HAAKSE INSCHR.KOPPELING;;;WE8LR1/4;F0401067;;7.19;ST      ;1;20
WE 8LR 1/4.1    ;BSP HAAKSE INSCHR.KOPPELING;;;WE8LR1/4;F0401067;;6.56;ST      ;1;30
WE 8LR 1/8      ;BSP HAAKSE INSCHR.KOPPELING;;;WE8LR1/8;F0401067;;11.67;ST      ;1;10
WE 8LR 3/8      ;BSP HAAKSE INSCHR.KOPPELING;;;WE8LR3/8;F0401067;;24.2;ST      ;1;7
WE 8LR 3/8.1    ;BSP HAAKSE INSCHR.KOPPELING;;;WE8LR3/8;F0401067;;22.94;ST      ;1;0
WE 8SM 14       ;METR.HAAKSE INSCHR.KOPPELING;;;WE8SM14 ;F0401066;;10.81;ST      ;1;16
WE 8SN 1/4      ;NPT HAAKSE INSCHR.KOPPELING;;;WE8SN1/4;F0401070;;10.75;ST      ;1;9
WE 8SR 1/4      ;BSP HAAKSE INSCHR.KOPPELING;;;WE8SR1/4;F0401068;;9.51;ST      ;1;45
WE10LM 14       ;METR.HAAKSE INSCHR.KOPPELING;;;WE10LM14;F0401065;;8.44;ST      ;1;175
WE10LN 1/4      ;NPT HAAKSE INSCHR.KOPPELING;;;WE10LN1/;F0401069;;9.63;ST      ;1;20
WE10LN 3/8      ;NPT HAAKSE INSCHR.KOPPELING;;;WE10LN3/;F0401069;;23.28;ST      ;1;21
WE10LR 1/2      ;BSP HAAKSE INSCHR.KOPPELING;;;WE10LR1/;F0401067;;15.37;ST      ;1;6
WE10LR 1/4      ;BSP HAAKSE INSCHR.KOPPELING;;;WE10LR1/;F0401067;;8.36;ST      ;1;10
WE10LR 1/4L.1   ;BSP HAAKSE INSCHR.KOPPELING;;;WE10LR1/;F0401067;;7.28;ST      ;1;30
WE10LR 1/8      ;BSP HAAKSE INSCHR.KOPPELING;;;WE10LR1/;F0401067;;15.37;ST      ;1;3
WE10LR 3/8      ;BSP HAAKSE INSCHR.KOPPELING;;;WE10LR3/;F0401067;;20.58;ST      ;1;50
WE10LR 3/8.1    ;BSP HAAKSE INSCHR.KOPPELING;;;WE10LR3/;F0401067;;19.14;ST      ;1;0
WE10SM 16       ;METR.HAAKSE INSCHR.KOPPELING;;;WE10SM16;F0401066;;11.9;ST      ;1;22
WE10SN 3/8      ;NPT HAAKSE INSCHR.KOPPELING;;;WE10SN3/;F0401070;;12.05;ST      ;1;5
WE10SR 3/8      ;BSP HAAKSE INSCHR.KOPPELING;;;WE10SR3/;F0401068;;10.91;ST      ;1;7
