Laag;Groep;Volgnummer
2;F0504011;Nippel jic bu-jic bu-jic bi
2;F0504012;Nippel 3x jic bu
2;F0504013;Nippel npt bu-npt bi-npt bi
2;F0504014;Nippel 3x npt bu
2;F0504015;Nippel 3x npt bi
2;F0504016;Nippel npt bi-npt bi-bpt bu
2;F0504017;Nippel unf bu-bi-bu
2;F0504018;Nippel unf bu-bu-bu
2;F0505001;Kruisnippel 4x bsp wartel
2;F0505002;Kruisnippel 4x bsp bu
2;F0505003;Kruisnippel 4x bsp bi
2;F0601001;Snelkoppeling bsp ISO 7241A
2;F0601002;Snelkoppeling bsp ISO 7241B
2;F0601003;Snelkoppeling metr. ISO 7241A
2;F0601004;Snelkoppeling metr. ISO 7241B
2;F0601010;Beremmingskoppeling bsp
2;F0601011;Beremmingskoppeling metrisch
2;F0601901;Stofkappen IR/IRV male
2;F0601902;Stofkappen IR/IRV female
2;F0601903;Stofkappen PC/BIR male
2;F0601904;Stofkappen PC/BIR female
2;F0601905;Snaptite
2;F0601906;Parker messing koppeling
2;F0601907;Stofkap IRB male
2;F0601908;Stofkap IRB female
2;F0602000;Orion luchtkoppelingen
2;F0701001;Schroefsnelkopp. Bgr. 1
2;F0701002;Schroefsnelkopp. Bgr. 2
2;F0701003;Schroefsnelkopp. Bgr. 3
2;F0701004;Schroefsnelkopp. Bgr. 4
2;F0701006;Schroefsnelkopp. Bgr. 6
2;F0701008;Schroefsnelkopp. Bgr. 8
2;F0701010;Trailerkoppeling
2;F0701011;Schroefsnelkopp. Stucchi
2;F0701012;Schroefsnelkoppeling Bruning
2;F0701014;Schroefsnelkoppeling RK Argus
2;F0701900;Stofdoppen
2;F0801001;Stucchi A-serie bsp ISO16028
2;F0801002;Stucchi A-serie metr. ISO16028
2;F0801003;Stucchi A-serie afdichting
2;F0801004;Stucchi APM-serie ISO16028
2;F0801005;Stucchi FIRG-serie ISO16028
2;F0801006;Stucchi FL-serie ISO16028
2;F0801007;Stucchi HPA-serie 720 bar
2;F0801008;Stucchi VEP-serie BSP
2;F0801009;Stucchi VEP-serie SAE
2;F0801010;Stucchi VEP-serie afdichting
2;F0801011;Stucchi VP-Serie
2;F0801012;Stucchi VOF-serie
2;F0801900;Stofkap A/FIRG
2;F0801901;Stofkap A/FIRG F
2;F0801902;Stofkap A/FIRG M
2;F0801908;Stofkap VP female
2;F0801909;Stofkap VP male
2;F0802000;WEH Test adapter met vergrendelmechanisme
2;F0819012;Stofkap VOF male
2;F0819013;Stofkap VOF female
2;F0901002;Stucchi DP multi 2-voudig
2;F0901003;Stucchi GR multi 3-voudig
2;F0901004;Stucchi GRM multi 4-voudig
2;F0901005;Stucchi DP multi 4-voudig
2;F0901006;Stucchi GR multi 6-voudig
2;F1001001;M+S   MM-serie
2;F1001002;M+S   MP-serie
2;F1001003;M+S   MR-serie
2;F1001004;M+S   MR-serie met wielflens
2;F1001005;M+S   MS-serie
2;F1001006;M+S   MS-serie met wielflens
2;F1001007;M+S   MT-serie
2;F1001008;M+S   MT-serie kort
2;F1001009;M+S   MT-serie met wielflens
2;F1001010;M+S   MV-serie
2;F1001011;M+S   HP-serie
2;F1001012;M+S   PK-serie
2;F1001013;M+S   MH + RW-serie
2;F1001016;M+S  SAE motoren
2;F1001017;M+S   MTM-serie
2;F1001018;M+S   MVM-serie
2;F1001019;M+S   Stuurstang
2;F1001020;M+S   HKU-serie
2;F1001021;M+S   HKUS-serie
2;F1001029;M+S Ventielen Motoren
2;F1001030;M+S   Ventielen
2;F1001031;M+S   Rem
2;F1001032;M+S   MS-serie met rem
2;F1001033;M+S   MSS-serie
2;F1001034;M+S  TMF-serie
2;F1001035;M+S  MAP plunger motor
2;F1002001;SAI TS8W zonder rem
2;F1002002;SAI TS8WF motor met rem
2;F1003001;Hydro Leduc motoren
2;F1004001;SAI G-serie radial piston motoren en pompen
2;F1004002;Sunfab plunger pomp
2;F1005001;Draaimotor ( Rotary Actuator)
2;F1101001;Kogelkraan recht Metrisch
2;F1101002;Kogelkraan recht BSP
2;F1101003;3-weg Kogelkraan Metrisch
2;F1101004;3 + 6-weg Kogelkraan BSP Hyva
2;F1101005;Hendel kogelkraan
2;F1102001;Smoring BSP
2;F1102002;Smoring BSP met terugslagklep
2;F1102003;Terugslagklep
2;F1102004;Terugslagklep enkel gestuurd
2;F1102005;Terugslagklep dubbel gestuurd
2;F1102008;Oliestroomdeler
2;F1102009;Volgordeklep
2;F1102010;Balanceerklep
2;F1102011;Overdrukventiel
2;F1102012;Crossover
2;F1102013;2/2 Klep nokbediend
2;F1102014;3/2 zitting ventiel
2;F1102015;3-weg Stroomregelventiel
2;F1102016;Slangbreukbeveiliging
2;F1102017;Wisselklep
2;F1102018;Ventiel NG 6 handbediend
2;F1102019;Stroomregelventiel
2;F1102020;Diverse ventielen
2;F1102100;Speciale kleppen
2;F1102900;Onderdelen ventielen
2;F1201001;
2;F1201002;Walvoil SD5 handbediend
2;F1201003;Walvoil SD11 monoblok handb.
2;F1201004;Walvoil SD14 monoblok handb.
2;F1201005;Walvoil SD18 monoblok handb.
2;F1201006;Walvoil DF 5 monoblok handb.
2;F1201007;Walvoil DF10 monoblok handb.
2;F1201008;Walvoil DF20 monoblok handb.
2;F1201009;Walvoil SDM105 monobl. handb.
2;F1201010;Walvoil SD 6 sectieblok
2;F1201011;Walvoil sectieblokken divers
2;F1201101;CBF 2/2 ventiel aluminium
2;F1201102;CBF 2/2 ventiel staal
2;F1201103;CBF 2/2 ventiel los patroon
2;F1201104;CBF 2/2 ventiel onderdelen
2;F1201105;3/2 ventiel elektrisch bediend
2;F1201106;6/2 ventiel elektrisch bediend
2;F1201201;PVG ventielen
2;F1205000;Montageplaat NG6
2;F1205001;Kladivar 4/2 ventiel NG6
2;F1205002;Kladivar 4/3 ventiel NG6
2;F1205003;Kladivar 6/2 ventiel NG6
2;F1205004;Kladivar 8/3 ventiel NG6
2;F1205009;Kladivar onderdelen NG6
2;F1205020;Montageplaat NG10
2;F1205021;Kladivar 4/2 ventiel NG10
2;F1205022;Kladivar 4/3 ventiel NG10
2;F1205023;Kladivar 6/2 ventiel NG10
2;F1205029;Kladivar onderdelen NG10
2;F1205031;Kladivar gest. terugslagklep
2;F1205032;Kladivar overdrukventiel NG10
2;F1205040;Kladivar rijgventiel NG6
2;F1205100;Kladivar speciaal blok
2;F1205150;
2;F1205200;Wessel kleppen en ventielen
2;F1205300;PVG 16 ventiel
2;F1205400;PVG 32 ventielen
2;F1299999;
2;F1301000;Enkel werkende Cilinders
2;F1301001;Dubbel werkende Cilinders
2;F1301002;Cilinders klant specifiek
2;F1301003;
2;F1301004;Zelfbouw Cilinders
2;F1301009;Lasnippels
2;F1301919;Onderdelen cilinders
2;F1301999;Onderdelen Cilinders
2;F1401001;Manometer
2;F1401003;Meetnippels
2;F1401004;Meetslang
2;F1401005;Ontluchtingsnippel
2;F1401006;Magneetplug
2;F1401007;Drukschakelaar
2;F1401008;Kijkglas
2;F1401009;Peilglas
2;F1401035;Manometer samengesteld
2;F1501001;Ontluchtingsfilter
2;F1501002;Retourfilter
