Debiteurnummer;Artikelnummer;Type;P/B/K
00001210;BM023700        ;B;279
00001210;MS 250 C        ;B;177.44
00001210;MS 315 C        ;B;187.98
00001210;MS 400 C        ;B;197.57
00001231;IHCGR6-9-L15(3)K;P;51.5
00001231;IHCGR6-9-L15(5)K;P;51.1
00001261;VP17 1-F        ;P;64
00001280;INV38GASF       ;B;973.36
00001280;INV38GASM       ;B;490.08
00001280;R1AT 1/4   WF   ;B;31.76
00001280;R2AT 3/8   WF   ;B;35.85
00001280;WH1 3/8 GREY    ;B;43.56
00001286;P20MS400        ;B;3868
00001301;MT 315 C        ;P;59
00001301;MT 400 C        ;P;59
00001301;MT AFD          ;B;23.75
00001301;TF 1/2-ROOD     ;P;67
00001301;TM 1/2-ROOD     ;P;67
00001307;SVH062RSFN1LSNRZ;P;57
00001307;V60N-060-RSFN   ;B;2190
00001359;VCR 1-F         ;P;41.88
00001359;VCR 1-M         ;P;41.88
00001359;VCR 1-MM        ;P;41.68
00001359;VCR 3/4-F       ;P;41.81
00001359;VCR 3/4-M       ;P;41.81
00001359;VCR 3/4-MM      ;P;42.1
00001373;R1AT 1 1/2      ;B;161.55
00001373;R7 2 1/4        ;B;63.53
00001450;VCR 1-F         ;P;67
00001450;VCR 1-M         ;P;67
00001450;VCR 3/4-F       ;P;67
00001450;VCR 3/4-M       ;P;67
00001501;VCR 3/4-F       ;P;57.5
00001501;VCR 3/4-M       ;P;57.5
00001516;R2AT 1    WF    ;B;4.47
00001516;R2AT 1/2  WF    ;B;2.02
00001516;R2AT 1/4  WF    ;B;1.62
00001516;R2AT 3/4  WF    ;B;2.86
00001516;R2AT 3/8  WF    ;B;1.81
00001516;R2AT 5/16 WF    ;B;1.73
00001554;MR AFD          ;B;26.24
00001558;WH1 BLU 1/2   WF;B;35.39
00001561;BVS1208A25AB25A ;B;26.87
00001561;MS315SL1NISG-01 ;B;298.22
00001580;BK 3/8.PMO      ;B;14.22
00001580;BM017500EV      ;P;35.18
00001580;PSS12LR 1/4 60GR;B;5.24
00001601;ARELCO SNELKOPPE;B;124.79
00001601;QVBV08MA-NV12GAS;B;22.24
00001601;QVPPB08F        ;B;48.1
00001601;R1AT 1/4   WF   ;B;28.59
00001601;R1AT 5/16 WF    ;B;31.31
00001601;R2AT 1    WF    ;B;94.84
00001601;R2AT 1/2  WF    ;B;37.21
00001601;R2AT 1/4  WF    ;B;29.95
00001601;R2AT 3/4  WF    ;B;51.28
00001601;R2AT 3/8  WF    ;B;33.13
00001601;R2AT 5/16 WF    ;B;32.22
00001601;R2AT 5/8  WF    ;B;52.18
00001610;BIR 1/2-M       ;P;67
00001610;IRS 1/2-V-F     ;P;67
00001610;QVBV08MA-NV12GAS;B;1
00001610;QVPPB08F        ;B;2.67
00001611;OR20001300      ;P;25
00001612;OR20001300      ;P;25
00001615;BIR 1/2-M       ;B;2.48
00001615;OVC-SE-L-38-02-D;B;33.12
00001615;SWV12LR 3/8.1   ;B;4.26
00001615;VBD 12L-ST      ;B;12.63
00001615;ZR2AT12SEMP     ;B;2.28
00001615;ZR2AT38SEMP     ;B;1.98
00001708;QVBV04FA        ;B;2.11
00001708;QVBV04MA        ;B;1.04
00001708;QVBV06FA        ;B;2.35
00001708;QVBV06MA        ;B;1.1
00001708;QVBV08MA-NV12GAS;B;1
00001708;QVPPB08F        ;B;2.67
00001713;ST-U-34         ;B;21.36
00001721;R1AT 1     WF   ;B;4.17
00001721;R1AT 3/4   WF   ;B;2.65
00001721;R1AT 3/8   WF   ;B;1.68
00001721;R1AT 5/16  WF   ;B;1.71
00001721;R1AT 5/8   WF   ;B;2.65
00001721;R2AT 1     WF   ;B;5.82
00001721;R2AT 1/2   WF   ;B;2.39
00001721;R2AT 1/4   WF   ;B;1.78
00001721;R2AT 3/4   WF   ;B;3.34
00001721;R2AT 3/8   WF   ;B;2.09
00001721;R2AT 5/16  WF   ;B;1.92
00001721;R2AT 5/8   WF   ;B;2.87
00001750;VPN-38          ;P;35
00001776;R1AT 1     WF   ;B;4.36
